SeriesTicker,SeriesName,EventTicker,MarketTicker,Time,EventEndTime,VolumeInDollar,OpenInterest,YesProb,NoProb,EventResult,RulesPrimary,KalshiURL,Tags
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11CREIDEP,KXNCAAMBGAME-26FEB11CREIDEP-CREI,2026-02-11T23:00:00+00:00,2026-02-12T04:30:40Z,1039452.00,29211,0.52,0.48,no,"If Creighton wins the Creighton at DePaul men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11creidep,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11WAKEGT,KXNCAAMBGAME-26FEB11WAKEGT-WAKE,2026-02-11T22:00:00+00:00,2026-02-12T04:25:09Z,172671.00,1869,0.62,0.38,yes,"If Wake Forest wins the Wake Forest at Georgia Tech men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11wakegt,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11WAKEGT,KXNCAAMBGAME-26FEB11WAKEGT-GT,2026-02-11T22:00:00+00:00,2026-02-12T04:25:09Z,378661.00,2081,0.4,0.6,no,"If Georgia Tech wins the Wake Forest at Georgia Tech men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11wakegt,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11CINKSU,KXNCAAMBGAME-26FEB11CINKSU-KSU,2026-02-11T22:00:00+00:00,2026-02-12T04:25:07Z,141816.00,4893,0.45,0.55,no,"If Kansas St. wins the Cincinnati at Kansas St. men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11cinksu,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11CINKSU,KXNCAAMBGAME-26FEB11CINKSU-CIN,2026-02-11T22:00:00+00:00,2026-02-12T04:25:07Z,148710.00,4441,0.57,0.43,yes,"If Cincinnati wins the Cincinnati at Kansas St. men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11cinksu,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11MIZZTXAM,KXNCAAMBGAME-26FEB11MIZZTXAM-TXAM,2026-02-11T23:00:00+00:00,2026-02-12T04:34:55Z,1576382.00,21344,0.75,0.25,no,"If Texas A&M wins the Missouri at Texas A&M men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11mizztxam,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11MIZZTXAM,KXNCAAMBGAME-26FEB11MIZZTXAM-MIZZ,2026-02-11T23:00:00+00:00,2026-02-12T04:34:55Z,905936.00,5996,0.27,0.73,yes,"If Missouri wins the Missouri at Texas A&M men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11mizztxam,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11TENNMSST,KXNCAAMBGAME-26FEB11TENNMSST-TENN,2026-02-11T22:00:00+00:00,2026-02-12T04:21:09Z,253692.00,21220,0.76,0.24,yes,"If Tennessee wins the Tennessee at Mississippi St. men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11tennmsst,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11TENNMSST,KXNCAAMBGAME-26FEB11TENNMSST-MSST,2026-02-11T22:00:00+00:00,2026-02-12T04:21:09Z,168216.00,1869,0.24,0.76,no,"If Mississippi St. wins the Tennessee at Mississippi St. men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11tennmsst,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11STANBC,KXNCAAMBGAME-26FEB11STANBC-STAN,2026-02-11T23:00:00+00:00,2026-02-12T04:50:22Z,648205.00,13594,0.58,0.42,yes,"If Stanford wins the Stanford at Boston College men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11stanbc,Basketball
